id,name,gender,url,bbox,sha256,img_processed
1,Aaron Eckhart,m,http://upload.wikimedia.org/wikipedia/commons/5/5d/AaronEckhart10TIFF.jpg,"53,177,418,542",dec996994cf1eec33b53c203cff0e8f25638829fa2ad71bb0307d308fa11cdac,0/0/1.bmp
2,Aaron Eckhart,m,http://movies.dosthana.com/sites/default/files/image-gallery/Aaron-Eckhart-Image.jpg,"80,102,260,282",f84d0c3b1b854a51e6bc031bc353e801834e81df795e85ec1589ca895fb7c1ae,0/0/2.bmp
3,Aaron Eckhart,m,http://upload.wikimedia.org/wikipedia/commons/5/52/Aaron_Eckhart_-_002.jpg,"203,802,975,1574",8548658ef00f2ac4c384fbfff9d3ae225b4b9e0c2aa45e79a97420381c0f84c9,0/0/3.bmp
4,Aaron Eckhart,m,http://25.media.tumblr.com/nJ2vga5sae9o2ks4FltK2lYvo1_400.jpg,"62,90,231,259",658d83f35859d2f313ff660c1900427c21eae1c41e3035307428f62b645e64d7,0/0/4.bmp
5,Aaron Eckhart,m,http://upload.wikimedia.org/wikipedia/commons/5/5e/Aaron-Eckhart-Traveling.jpg,"276,120,492,336",1fa14fed3371280e8785df42cdc5d0335e7923a38f1b0632e3b88a52e850825f,0/0/5.bmp
6,Aaron Eckhart,m,http://media.zenfs.com/en_us/Movies/PhotoG/2nd-annual-ampas-governors-awards-2010-aaron-eckhart-53335.jpg,"235,158,540,463",121e8bea5caae215b537dc116534bbd2fa7a9a60c1910764d78794ec185aa527,0/0/6.bmp
7,Aaron Eckhart,m,http://img2.timeinc.net/people/i/2008/news/080804/aaron_eckhart.jpg,"60,57,178,175",bb2e227a9420d6325b67974231d334fc4620e807543a16030d51b35fa8a092f3,0/0/7.bmp
8,Aaron Eckhart,m,http://latimesblogs.latimes.com/photos/uncategorized/2008/11/17/aaron_eckhart.jpg,"30,149,326,445",4937ad41d13c493f6b1bd5dfd560c3b2a4bf3fdeb973158bd136d6218be438f4,0/0/8.bmp
9,Aaron Eckhart,m,http://collider.com/wp-content/uploads/Aaron-Eckhart-as-Sanderson-in-THE-RUM-DIARY_rgb.jpg,"697,733,1878,1914",3705523152829d26aa5691a81f61f4708d10231a6c5b97d95c6cb66c6cc52c58,0/0/9.bmp
10,Aaron Eckhart,m,http://movies.dosthana.com/sites/default/files/image-gallery/Aaron-Eckhart-Photos.jpg,"375,157,571,353",0ffd2e7003856122e275ec621cba760e05db0a42a7e45322774a93755fe52eba,0/0/10.bmp
11,Aaron Eckhart,m,http://topnews.in/light/files/Aaron_Eckhart-1.jpg,"67,64,207,204",7023fd5bd09aea9c8e0deefc4db2f28ebc1a808d964df5072bf56b5e6de98e19,0/0/11.bmp
