"1","A","4557.96166843 1823.38153781 -1311.00516076 -154.0184675 -1711.74151982 1089.60474771 961.192923073 -1878.71509918 -586.725621929 -1700.51234103 552.017800676 782.189265728 1157.3308241 -1427.50764704 -485.604288143 -316.095313215 1029.00306527 -1086.50532167 799.858998012 423.514374324 107.239881265 -7.1054273576e-15"
"2","A","-3072.60196724 2309.12763794 -1305.50770244 -563.259503147 -1125.863473 -1604.85829536 -695.075538562 -501.143179371 -1110.46829656 -676.430130749 -1104.95800623 -700.404289093 -76.3346859672 -595.962420128 2007.63161874 323.403490916 839.378642734 1414.31743709 704.864949458 -249.77733275 -653.527040913 -2.13162820728e-14"
"3","A","-1288.04977486 -1076.4806171 -1865.82323551 -2207.20816468 -529.484712781 -385.161257713 -1187.92706363 74.3442309715 -392.617101843 -879.776926742 -537.320760146 -99.0217993287 109.189194578 528.284676345 -1161.5090446 780.972651037 383.493755725 244.105275171 -37.7252374347 -1558.13705537 1773.12123105 2.07389661e-13"
"4","A","6140.24098641 2398.16368172 -105.128629292 2786.38081726 -610.824355306 556.958329919 1326.47465513 576.280140844 -572.554312934 952.426611401 -606.115705349 -975.589196495 -226.982734238 2420.23491333 -754.674141433 236.072581076 454.062393666 751.318594505 596.057095272 203.071086169 -23.1950111447 4.97379915032e-14"
"5","A","1096.26868988 -2607.0593725 -1280.22640522 636.93592173 974.32695809 -1761.73384247 540.06217951 3895.26739318 -2174.10638904 -783.595028716 1797.31753035 1044.59335044 524.658027547 -18.7230405643 176.881079322 235.112722861 97.9407646259 112.761341156 -105.862712897 301.070385265 -220.168086803 9.54791801178e-14"
"6","A","3092.37569626 -1411.92877229 -396.826558139 -1740.883865 802.072565143 -1849.72591683 777.797071415 -1200.17494964 1051.58649757 1033.76798354 966.221691282 -1138.90320147 -774.360828873 -355.294840455 516.314691443 2371.11996808 -99.9003654253 -910.391781078 141.050423002 240.799578374 -190.646534428 -9.7699626167e-14"
"7","A","648.728867109 -3740.02211588 792.922591835 2761.91746085 -1485.48436559 -2001.63426873 1790.31356488 -1973.19708461 311.515504715 -1554.30825393 -47.5130621518 -662.238636813 -527.424769114 277.246268049 661.406546712 -1019.4850186 -360.915132702 286.581623141 -1176.53103571 286.521208857 658.602053964 9.03999097801e-14"
"8","A","-693.768100185 -362.796464657 -918.21071706 -2958.65710673 854.014931497 626.949253301 -1509.92938134 -38.2376221234 -1088.04766764 658.147152843 -1466.9023335 -927.029669399 1474.91009906 784.935215181 419.413179701 -321.322107804 -87.5112480615 -598.337193521 -854.391304566 1724.22331399 466.028642191 1.13686837722e-13"
"9","A","2276.75238484 -2346.34168644 616.681739459 -1712.45679148 930.961054266 -1597.75620772 -1264.92917497 -617.323059668 -337.908007683 556.906859718 145.105630178 -1504.44798216 558.408851654 -282.163714306 -1010.79492566 -1674.90131544 -637.126323166 -105.840814983 922.41474691 -883.429920062 -1047.03295234 4.4408920985e-14"
"10","A","-2791.96491761 -1116.2360563 2334.19442781 4328.10050748 24.5762994423 -1305.83878064 -2615.75138526 -1418.06486947 -290.704451009 2192.28294968 210.311177457 1202.72058016 578.176382935 -462.269432415 -550.271503602 351.113551899 779.155535316 28.1303329358 271.850964158 330.746941916 308.937498616 1.71418435002e-13"
"11","A","3346.42454126 -474.611154861 741.657736324 1738.23831494 5181.69308811 1076.59067482 -421.76401976 -127.042557987 618.61731202 -1534.86985385 -2022.60414523 850.198578064 -286.926798508 -541.679742456 386.580590944 273.847695398 -195.205983213 147.255641883 95.0394899887 -245.869013097 -34.8890125275 -1.83852932878e-13"
"12","A","-540.402897995 -3020.89448592 -2124.55586737 456.792431395 -2580.61302513 1134.5593676 -404.720005052 1417.36332991 1048.24904452 691.579278093 -1368.08618914 1079.16098463 -1053.21083544 363.147167973 950.801797095 -378.718869668 -758.780591427 -977.417389912 1373.49808516 75.5194998262 99.4277478027 1.72306613422e-13"
"13","A","-157.284239629 -232.098661059 901.957393479 -3036.71104178 -790.515914742 369.058666841 501.529594289 -1947.56115087 -1620.7047839 227.698749432 -435.55902663 2298.7857832 -1333.33781271 801.602783679 -729.372100048 272.135718472 -363.921193008 339.90369588 -828.460421684 -63.3174958776 -1046.64787997 2.6645352591e-14"
"14","A","3482.82994449 -1631.6505001 -1519.60654066 -343.460849383 -551.919055621 3106.54483583 507.382741529 347.580681063 549.283678623 2210.8562526 605.199794332 -92.5315829343 524.203951585 -1479.67118827 639.434869484 -264.014196875 239.433655393 1195.00414337 -1095.31109219 -617.099685434 63.3047775933 5.3290705182e-14"
